# From MPO250194
5646 1990 TR,e,7.9117,14.1665,335.7058,2.143069,0.3141592,0.43666123,75.6572,04/18.0/2013,2000,H15.2,0.15
# From MPO223202
5653 Camarillo,e,6.8734,9.9952,122.4585,1.794252,0.4100898,0.30409854,141.5822,04/18.0/2013,2000,H16.1,0.15
# From MPO244231
5660 1974 MA,e,38.0652,302.3056,126.9024,1.785444,0.4131281,0.76243058,62.9811,04/18.0/2013,2000,H15.4,0.15
# From MPO253403
5693 1993 EA,e,5.0556,97.1019,258.8192,1.271066,0.6877840,0.58513921,194.0065,04/18.0/2013,2000,H16.5,0.15
# From MPO244232
5731 Zeus,e,11.4309,281.7141,216.9659,2.263240,0.2894730,0.65355454,32.7913,04/18.0/2013,2000,H15.7,0.15
# From MPO247419
5751 Zao,e,16.0741,121.6989,25.1913,2.103135,0.3231493,0.42367745,337.0649,04/18.0/2013,2000,H14.6,0.15
# From MPO200969
5786 Talos,e,23.2296,161.3165,8.3405,1.081442,0.8763941,0.82675992,196.9390,04/18.0/2013,2000,H17.1,0.15
# From MPO186493
5797 Bivoj,e,4.1883,299.0089,168.4167,1.893384,0.3783083,0.44420052,281.0771,04/18.0/2013,2000,H18.7,0.15
# From MPO253404
5828 1991 AM,e,30.1092,125.4704,152.6902,1.697353,0.4457031,0.69580487,346.5719,04/18.0/2013,2000,H15.9,0.15
# From MPO253404
5836 1993 MF,e,7.9792,239.6787,76.8172,2.446259,0.2576028,0.53233381,55.1489,04/18.0/2013,2000,H14.7,0.15
# From MPO253404
5863 Tara,e,19.4726,169.0310,115.3273,2.220760,0.2978185,0.50737388,357.3480,04/18.0/2013,2000,H15.5,0.15
# From MPO231448
5869 Tanith,e,17.9311,227.9346,230.7212,1.812280,0.4039857,0.32125290,335.7001,04/18.0/2013,2000,H17.2,0.15
# From MPO169575
5879 Almeria,e,21.5726,145.8784,355.6618,1.624750,0.4759092,0.28918558,84.1468,04/18.0/2013,2000,H17.4,0.15
# From MPO121724
6037 1988 EG,e,3.4970,182.6019,241.9626,1.271311,0.6875847,0.49966825,241.6147,04/18.0/2013,2000,H18.7,0.15
# From MPO247422
6047 1991 TB1,e,23.4729,6.1416,103.7233,1.454369,0.5619431,0.35216354,42.5218,04/18.0/2013,2000,H17.7,0.15
# From MPO233550
6050 Miwablock,e,6.4047,88.3915,284.7083,2.203076,0.3014116,0.43579455,207.0391,04/18.0/2013,2000,H14.7,0.15
# From MPO226166
6053 1993 BW3,e,21.5852,318.3836,74.8584,2.147677,0.3131487,0.52844897,206.3171,04/18.0/2013,2000,H14.8,0.15
# From MPO240247
6063 Jason,e,4.9209,169.5180,337.0059,2.212321,0.2995241,0.76641285,284.4139,04/18.0/2013,2000,H15.8,0.15
# From MPO186493
6130 Hutton,e,23.7495,139.3521,189.7463,2.972884,0.1922814,0.54187234,211.9543,04/18.0/2013,2000,H16.2,0.15
# From MPO219560
6178 1986 DA,e,4.3079,64.6831,127.3578,2.820201,0.2081058,0.58216202,260.6436,04/18.0/2013,2000,H15.1,0.15
# From MPO244237
6239 Minos,e,3.9451,344.6374,239.6676,1.151544,0.7975963,0.41289152,113.7798,04/18.0/2013,2000,H18.4,0.15
# From MPO253408
6455 1992 HE,e,37.3530,27.1546,262.5951,2.241121,0.2937691,0.57213611,75.9316,04/18.0/2013,2000,H13.8,0.15
# From MPO250271
6456 Golombek,e,8.2145,313.6508,347.0564,2.194844,0.3031089,0.40813169,140.1724,04/18.0/2013,2000,H15.9,0.15
# From MPO210388
6489 Golevka,e,2.2710,210.5808,67.2223,2.495105,0.2500753,0.60925924,176.4466,04/18.0/2013,2000,H19.2,0.15
# From MPO208043
6491 1991 OA,e,5.8533,302.4349,322.6427,2.507756,0.2481854,0.59088453,177.8005,04/18.0/2013,2000,H18.8,0.15
# From MPO253409
6569 Ondaatje,e,22.6412,111.5061,167.2611,1.626353,0.4752061,0.22081309,192.8567,04/18.0/2013,2000,H16.4,0.15
# From MPO236431
6611 1993 VW,e,8.6968,230.9839,281.3050,1.695821,0.4463073,0.48451339,241.1121,04/18.0/2013,2000,H16.8,0.15
# From MPO226175
7025 1993 QA,e,12.6060,146.6533,323.3793,1.475950,0.5496629,0.31511811,225.8353,04/18.0/2013,2000,H18.3,0.15
# From MPO231459
7088 Ishtar,e,8.3008,102.6861,354.6918,1.980931,0.3535086,0.39061810,227.0676,04/18.0/2013,2000,H16.7,0.15
# From MPO233557
7092 Cadmus,e,17.8077,57.7715,93.7303,2.535755,0.2440862,0.69772857,86.6479,04/18.0/2013,2000,H15.0,0.15
# From MPO250279
7096 Napier,e,11.2261,148.7439,254.9306,2.773889,0.2133392,0.50487521,151.6125,04/18.0/2013,2000,H15.0,0.15
# From MPO 87241
7236 1987 PA,e,16.3304,308.5427,337.9146,2.723905,0.2192381,0.55928805,266.3197,04/18.0/2013,2000,H18.4,0.15
# From MPO148745
7335 1989 JA,e,15.2127,61.4315,232.0583,1.770587,0.4183387,0.48416075,32.7870,04/18.0/2013,2000,H17.0,0.15
# From MPO179645
7336 Saunders,e,7.1686,174.5793,181.1375,2.306904,0.2812936,0.47920998,264.2206,04/18.0/2013,2000,H18.8,0.15
# From MPO233559
7341 1991 VK,e,5.4196,294.8721,173.3398,1.842075,0.3942242,0.50664310,181.7671,04/18.0/2013,2000,H16.7,0.15
# From MPO253415
7350 1993 VA,e,7.2615,133.1614,336.5491,1.355681,0.6244073,0.39102272,81.9742,04/18.0/2013,2000,H17.0,0.15
# From MPO253415
7358 Oze,e,4.6590,266.0820,91.3919,2.197359,0.3025885,0.50295827,162.4996,04/18.0/2013,2000,H14.6,0.15
# From MPO240261
7467 1989 WQ1,e,15.9019,69.1170,41.6052,1.654124,0.4632890,0.12669491,321.2640,04/18.0/2013,2000,H15.6,0.15
# From MPO169584
7474 1992 TC,e,7.0883,88.6688,275.5317,1.565550,0.5031573,0.29223488,176.5783,04/18.0/2013,2000,H18.0,0.15
# From MPO253415
7480 Norwan,e,9.4541,124.4319,256.7521,1.567623,0.5021593,0.31699918,149.4977,04/18.0/2013,2000,H17.0,0.15
# From MPO244249
7482 1994 PC1,e,33.4881,117.9017,47.6071,1.346283,0.6309563,0.32825471,117.9231,04/18.0/2013,2000,H16.8,0.15
# From MPO253416
7604 Kridsadaporn,e,20.4563,147.2827,266.2459,3.110038,0.1797031,0.57504130,49.9831,04/18.0/2013,2000,H13.2,0.15
# From MPO223221
7753 1988 XB,e,3.1244,73.4938,280.0063,1.467450,0.5544460,0.48153575,287.4562,04/18.0/2013,2000,H18.6,0.15
# From MPO192291
7822 1991 CS,e,37.1209,156.8760,249.4556,1.122726,0.8285018,0.16463667,303.0387,04/18.0/2013,2000,H17.4,0.15
# From MPO177905
7839 1994 ND,e,27.1755,102.6973,228.0090,2.165481,0.3092947,0.51743679,309.3141,04/18.0/2013,2000,H18.0,0.15
# From MPO244253
7888 1993 UC,e,26.0716,165.9577,323.0029,2.435533,0.2593062,0.66416721,15.1587,04/18.0/2013,2000,H15.2,0.15
# From MPO234886
7889 1994 LX,e,36.9070,111.2936,349.1336,1.261490,0.6956302,0.34636612,295.4919,04/18.0/2013,2000,H15.1,0.15
# From MPO253419
7977 1977 QQ5,e,25.1664,134.2362,248.0882,2.226780,0.2966117,0.46537752,246.9491,04/18.0/2013,2000,H15.2,0.15
# From MPO250289
8013 Gordonmoore,e,7.5719,105.5856,146.7827,2.199200,0.3022087,0.43226712,2.4283,04/18.0/2013,2000,H16.8,0.15
# From MPO216500
8014 1990 MF,e,1.8647,210.4145,114.1545,1.746261,0.4271107,0.45565651,298.5577,04/18.0/2013,2000,H18.7,0.15
# From MPO247439
